occ80,occ80_desc
266,"Sales workers, furniture and home furnishings"
267,"Sales workers, radio, TV, hi-fi, and appliances"
268,"Sales workers, hardware and building supplies"
269,"Sales workers, parts"
274,"Sales workers, other commodities"
275,"Sales counter clerks"
276,"Cashiers"
277,"Street and door-to-door sales workers"
278,"News vendors"
283,"Demonstrators, promoters and models, sales"
284,"Auctioneers"
285,"Sales support occupations, n.e.c."
303,"Supervisors, general office"
304,"Supervisors, computer equipment operators"
305,"Supervisors, financial records processing"
306,"Chief communications operators"
307,"Supervisors, distribution, scheduling, and adjusting clerks"
308,"Computer operators"
309,"Peripheral equipment operators"
313,"Secretaries"
314,"Stenographers"
315,"Typists"
316,"Interviewers"
317,"Hotel clerks"
318,"Transportation ticket and reservation agents"
319,"Receptionists"
323,"Information clerks, n.e.c."
325,"Classified-ad clerks"
326,"Correspondence clerks"
327,"Order clerks"
328,"Personnel clerks, except payroll and timekeeping"
329,"Library clerks"
335,"File clerks"
336,"Records clerks"
337,"Bookkeeping, accounting, and auditing clerks"
338,"Payroll and timekeeping clerks"
339,"Billing clerks"
343,"Cost and rate clerks"
344,"Billing, posting, and calculating machine operators"
345,"Duplicating machine operators"
346,"Mail preparing and paper handling machine operators"
347,"Office machine operators, n.e.c."
348,"Telephone operators"
349,"Telegraphers"
353,"Communications equipment operators, n.e.c."
354,"Postal clerks, except mail carriers"
355,"Mail carriers, postal service"
356,"Mail clerks, except postal service"
357,"Messengers"
359,"Dispatchers"
363,"Production coordinators"
364,"Traffic, shipping, and receiving clerks"
365,"Stock and inventory clerks"
366,"Meter readers"
368,"Weighers, measurers, and checkers"
369,"Samplers"
373,"Expediters"
374,"Material recording, scheduling, and distributing clerks, n.e.c."
375,"Insurance adjusters, examiners, and investigators"
376,"Investigators and adjusters, except insurance"
377,"Eligibility clerks, social welfare"
378,"Bill and account collectors"
379,"General office clerks"
383,"Bank tellers"
384,"Proofreaders"
385,"Data-entry keyers"
386,"Statistical clerks"
387,"Teachers' aides"
389,"Administrative support occupations, n.e.c."
403,"Launderers and Ironers"
404,"Cooks, private household"
405,"Housekeepers and butlers"
406,"Child care workers, private household"
407,"Private household cleaners and servants"
413,"Supervisors, firefighting and fire prevention occupations"
414,"Supervisors, police and detectives"
415,"Supervisors, guards"
416,"Fire inspection and fire prevention occupations"
417,"Firefighting occupations"
418,"Police and detectives, public service"
423,"Sheriffs, bailiffs, and other law enforcement officers"
424,"Correctional institution officers"
425,"Crossing guards"
426,"Guards and police, except public service"
427,"Protective service occupations, n.e.c."
433,"Supervisors, food preparation and service occupations"
434,"Bartenders"
435,"Waiters and waitresses"
436,"Cooks, except short order"
437,"Short-order cooks"
438,"Food counter, fountain, and related occupations"
439,"Kitchen workers, food preparation"
443,"Waiters'/waitresses' assistants"
444,"Miscellaneous food preparation occupations"
445,"Dental assistants"
446,"Health aides, except nursing"
447,"Nursing aides, orderlies, and attendants"
448,"Supervisors, cleaning and building service workers"
449,"Maids and housemen"
453,"Janitors and cleaners"
454,"Elevator operators"
455,"Pest control occupations"
456,"Supervisors, personal service occupations"
457,"Barbers"
458,"Hairdressers and cosmetologists"
459,"Attendants, amusement and recreation facilities"
463,"Guides"
464,"Ushers"
465,"Public transportation attendants"
466,"Baggage porters and bellhops"
467,"Welfare service aides"
468,"Child care workers, except private household"
469,"Personal service occupations, n.e.c."
473,"Farmers, except horticultural"
474,"Horticultural specialty farmers"
475,"Managers, farms, except horticultural"
476,"Managers, horticultural specialty farms"
477,"Supervisors, farm workers"
479,"Farm workers"
483,"Marine life cultivation workers"
484,"Nursery workers"
485,"Supervisors, related agricultural occupations"
486,"Groundskeepers and gardeners, except farm"
487,"Animal caretakers, except farm"
488,"Graders and sorters, agricultural products"
489,"Inspectors, agricultural products"
494,"Supervisors, forestry and logging workers"
495,"Forestry workers, except logging"
496,"Timber cutting and logging occupations"
497,"Captains and other officers, fishing vessels"
498,"Fishers"
499,"Hunters and trappers"
503,"Supervisors, mechanics and repairers"
505,"Automobile mechanics, except apprentices"
506,"Automobile mechanic apprentices"
507,"Bus, truck, and stationary engine mechanics"
508,"Aircraft engine mechanics"
509,"Small engine repairers"
514,"Automobile body and related repairers"
515,"Aircraft mechanics, except engine"
516,"Heavy equipment mechanics"
517,"Farm equipment mechanics"
518,"Industrial machinery repairers"
519,"Machinery maintenance occupations"
523,"Electronic repairers, communications and industrial equipment"
525,"Data processing equipment repairers"
526,"Household appliance and power tool repairers"
527,"Telephone line installers and repairers"
529,"Telephone installers and repairers"
533,"Miscellaneous electrical and electronic equipment repairers"
534,"Heating, air conditioning, and refrigeration mechanics"
535,"Camera, watch, and musical instrument repairers"
536,"Locksmiths and safe repairers"
538,"Office machine repairers"
539,"Mechanical controls and valve repairers"
543,"Elevator installers and repairers"
544,"Millwrights"
547,"Mechanics and repairers, n.e.c."
549,"Mechanics and repairers, n.s."
553,"Supervisors, brickmasons, stonemasons, and tile setters"
554,"Supervisors, carpenters and related workers"
555,"Supervisors, electricians and power transmission installers"
556,"Supervisors, painters, paperhangers, and plasterers"
557,"Supervisors, plumbers, pipefitters, and steamfitters"
558,"Supervisors, n.e.c."
563,"Brickmasons and stonemasons, except apprentices"
564,"Brickmason and stonemason apprentices"
565,"Tile setters, hard and soft"
566,"Carpet installers"
567,"Carpenters, except apprentices"
569,"Carpenter apprentices"
573,"Drywall installers"
575,"Electricians, except apprentices"
576,"Electrician apprentices"
577,"Electrical power installers and repairers"
579,"Painters, construction and maintenance"
583,"Paperhangers"
584,"Plasterers"
585,"Plumbers, pipefitters, and steamfitters, except apprentices"
587,"Plumber, pipefitter, and steamfitter apprentices"
588,"Concrete and terrazzo finishers"
589,"Glaziers"
593,"Insulation workers"
594,"Paving, surfacing, and tamping equipment operators"
595,"Roofers"
596,"Sheetmetal duct installers"
597,"Structural metal workers"
598,"Drillers, earth"
599,"Construction trades, n.e.c."
613,"Supervisors, extractive occupations"
614,"Drillers, oil well"
615,"Explosives workers"
616,"Mining machine operators"
617,"Mining occupations, n.e.c."
633,"Supervisors production occupations"
634,"Tool and die makers, except apprentices"
635,"Tool and die maker apprentices"
636,"Precision assemblers, metal"
637,"Machinists, except apprentices"
639,"Machinist apprentices"
643,"Boilermakers"
644,"Precision grinders, fitters, and tool sharpeners"
645,"Patternmakers and model makers, metal"
646,"Lay-out workers"
647,"Precious stones and metals workers"
649,"Engravers, metal"
653,"Sheet metal workers, except apprentices"
654,"Sheet metal worker apprentices"
655,"Miscellaneous precision metal workers"
656,"Patternmakers and model makers, wood"
657,"Cabinet makers and bench carpenters"
658,"Furniture and wood finishers"
659,"Miscellaneous precision woodworkers"
666,"Dressmakers"
667,"Tailors"
668,"Upholsterers"
669,"Shoe repairers"
673,"Apparel and fabric patternmakers"
674,"Misc. precision apparel and fabric workers"
675,"Hand molders and shapers, except jewelers"
676,"Patternmakers, lay-out workers, and cutters"
677,"Optical goods workers"
678,"Dental laboratory and medical appliance technicians"
679,"Bookbinders"
683,"Electrical and electronic equipment assemblers"
684,"Miscellaneous precision workers, n.e.c."
686,"Butchers and meat cutters"
687,"Bakers"
688,"Food batchmakers"
689,"Inspectors, testers, and graders"
693,"Adjusters and calibrators"
694,"Water and sewage treatment plant operators"
695,"Power plant operators"
696,"Stationary engineers"
699,"Miscellaneous plant and system operators"
703,"Lathe and turning machine set-up operators"
704,"Lathe and turning machine operators"
705,"Milling and planing machine operators"
706,"Punching and stamping press machine operators"
707,"Rolling machine operators"
708,"Drilling and boring machine operators"
709,"Grinding, abrading, buffing, and polishing machine operators"
713,"Forging machine operators"
714,"Numerical control machine operators"
715,"Miscellaneous metal, plastic, stone, and glass working machine operators"
717,"Fabricating machine operators, n.e.c."
719,"Molding and casting machine operators"
723,"Metal plating machine operators"
724,"Heat treating equipment operators"
725,"Miscellaneous metal and plastic processing machine operators"
726,"Wood lathe, routing, and planing machine operators"
727,"Sawing machine operators"
728,"Shaping and joining machine operators"
729,"Nailing and tacking machine operators"
733,"Misc. woodworking machine operators"
734,"Printing machine operators"
735,"Photoengravers and lithographers"
736,"Typesetters and compositors"
737,"Miscellaneous printing machine operators"
738,"Winding and twisting machine operators"
739,"Knitting, looping, taping, and weaving machine operators"
743,"Textile cutting machine operators"
744,"Textile sewing machine operators"
745,"Shoe machine operators"
747,"Pressing machine operators"
748,"Laundering and dry cleaning machine operators"
749,"Miscellaneous textile machine operators"
753,"Cementing and gluing machine operators"
754,"Packaging and filling machine operators"
755,"Extruding and forming machine operators"
756,"Mixing and blending machine operators"
757,"Separating, filtering, and clarifying machine operators"
758,"Compressing and compacting machine operators"
759,"Painting and paint spraying machine operators"
763,"Roasting and baking machine operators, food"
764,"Washing, cleaning, and pickling machine operators"
765,"Folding machine operators"
766,"Furnace, kiln, and oven operators, except food"
768,"Crushing and grinding machine operators"
769,"Slicing and cutting machine operators"
773,"Motion picture projectionists"
774,"Photographic process machine operators"
777,"Miscellaneous machine operators"
779,"Machine operators, n.s."
783,"Welders and cutters"
784,"Solderers and blazers"
785,"Assemblers"
786,"Hand cutting and trimming occupations"
787,"Hand molding, casting, and forming occupations"
789,"Hand painting, coating, and decorating occupations"
793,"Hand engraving and printing occupations"
794,"Hand grinding and polishing occupations"
795,"Miscellaneous hand working occupations"
796,"Production inspectors, checkers, and examiners"
797,"Production testers"
798,"Production samplers and weighers"
799,"Graders and sorters, except agricultural"
803,"Supervisors, motor vehicle operators"
804,"Truck drivers, heavy"
805,"Truck drivers, light"
806,"Driver-sales workers"
808,"Bus drivers"
809,"Taxicab drivers and chauffeurs"
813,"Parking lot attendants"
814,"Motor transportation occupations, n.e.c."
823,"Railroad conductors and yardmasters"
824,"Locomotive operating occupations"
825,"Railroad brake, signal, and switch operators"
826,"Rail vehicle operators, n.e.c."
828,"Ship captains and mates, except fishing boats"
829,"Sailors and deckhands"
833,"Marine engineers"
834,"Bridge, lock, and lighthouse tenders"
843,"Supervisors, material moving equipment operators"
844,"Operating engineers"
845,"Longshore equipment operators"
848,"Hoist and winch operators"
849,"Crane and tower operators"
853,"Excavating and loading machine operators"
855,"Grader, dozer, and scraper operators"
856,"Industrial truck and tractor equipment operators"
859,"Misc. material moving equipment operators"
863,"Supervisors, handlers, equipment cleaners, and laborers, n.e.c."
864,"Helpers, mechanics and repairers"
865,"Helpers, construction trades"
866,"Helpers, surveyor"
867,"Helpers, extractive occupations"
869,"Construction laborers"
873,"Production helpers"
875,"Garbage collectors"
876,"Stevedores"
877,"Stock handlers and baggers"
878,"Machine feeders and offbearers"
883,"Freight, stock, and material handlers, n.e.c."
885,"Garage and service station related occupations"
887,"Vehicle washers and equipment cleaners"
888,"Hand packers and packagers"
889,"Laborers, except construction"
905,"Unemployed, last worked in Armed Forces (within past "
909,"Unemployed, no work within past "
